,poi_name,phone,latitude,longitude
0,Electronic Center,0819-9752-0214,-6.3890755,106.8185736
1,SJE Store CCTV dan Elektronik Center,0838-7705-0517,-6.3711273,107.0178999
2,Electronic City SCBD (PT. Electronic City Indonesia Tbk.),(021) 1500032,-6.2265285,106.8113103
3,ELECTRONIC CITY,1 500 032,-6.3990411,106.9754179
4,E-Technology Center,0856-9887-384,-6.2810786,107.0148365
5,Electronic City,1 500 032,-6.2187468,106.9238065
6,Electronic City Green Terrace TMII,(021) 1500032,-6.3041772,106.8866953
7,Electronic City KJI Plaza,1 500 032,-6.2704052,106.8690738
8,Electronic City Cibubur,1 500 032,-6.3766498,106.9150132
9,Electronic City The Park Sawangan,1 500 032,-6.3766579,106.744835
10,Electronic City Metropolitan Mall Bekasi,1 500 032,-6.2491017,106.9898013
11,KK Centre,(021) 4357149,-6.1292437,106.910861
12,Citra Electronic Centre,(021) 5669701,-6.1681503,106.7863798
13,Electronic City Mall Taman Anggrek,1 500 032,-6.1790713,106.7925647
14,Electronics Center,(021) 44561778,-6.395185,106.792968
15,Electronic City Revo Mall Bekasi,1 500 032,-6.2542223,106.9898529
16,Electronic City Mall Lippo Cikarang,1 500 032,-6.3344909,107.1366679
17,Electronic City Kota Kasablanka,1 500 032,-6.2242215,106.8427073
18,Electronic City Ruko Ampera,,-6.2802249,106.8200895
19,Electronic City Margocity,1 500 032,-6.3739167,106.8346906
20,Bandung Electronics Center,,-6.9078216,107.6087898
21,Electronic Center,0819-9752-0214,-6.3890755,106.8185736
22,E-Technology Center,0856-9887-384,-6.2810786,107.0148365
23,Electronic City SCBD (PT. Electronic City Indonesia Tbk.),(021) 1500032,-6.2265285,106.8113103
24,Electronic City,1 500 032,-6.2187468,106.9238065
25,Electronic City Metropolitan Mall Bekasi,1 500 032,-6.2491017,106.9898013
26,Electronic City Green Terrace TMII,(021) 1500032,-6.3041772,106.8866953
27,Electronic City KJI Plaza,1 500 032,-6.2704052,106.8690738
28,Electronic City The Park Sawangan,1 500 032,-6.3766579,106.744835
29,KK Centre,(021) 4357149,-6.1292437,106.910861
30,Electronic City Revo Mall Bekasi,1 500 032,-6.2542223,106.9898529
31,Citra Electronic Centre,(021) 5669701,-6.1681503,106.7863798
32,ELECTRONIC CITY,1 500 032,-6.3990411,106.9754179
33,Electronic City Mall Taman Anggrek,1 500 032,-6.1790713,106.7925647
34,Electronic City Cibubur,1 500 032,-6.3766498,106.9150132
35,SJE Store CCTV dan Elektronik Center,0838-7705-0517,-6.3711273,107.0178999
36,Electronics Center,(021) 44561778,-6.395185,106.792968
37,Electronic City Mall Lippo Cikarang,1 500 032,-6.3344909,107.1366679
38,PT LG Electronics R&D Center (LGERC),,-6.3171477,107.0870484
39,Electronic City Kota Kasablanka,1 500 032,-6.2242215,106.8427073
40,Electronic City Ruko Ampera,,-6.2802249,106.8200895
41,Bandung Electronics Center,,-6.9078216,107.6087898
42,Electronic Center,0819-9752-0214,-6.3890755,106.8185736
